IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27
9,1891,GSI003,70,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
14,2258,GSI003,30,Reprovado,1,0,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0
18,2322,GSI003,85,Aprovado,1,2,2,2,2,0,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2
19,2135,GSI003,90,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
20,2187,GSI003,60,Aprovado,1,1,2,2,2,1,2,0,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,0,1
25,2012,GSI003,70,Aprovado,1,1,1,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
30,1909,GSI003,0,Reprovado,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
31,1909,GSI003,76,Aprovado,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
32,1909,GSI003,61,Aprovado,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
33,1909,GSI003,96,Aprovado,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
35,2620,GSI003,79,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
36,2552,GSI003,2,Reprovado,0,1,2,2,2,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0
38,2091,GSI003,0,Reprovado,0,1,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,0
43,2484,GSI003,82,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
51,1891,GSI003,90,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
52,1891,GSI003,70,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
54,2552,GSI003,14,Reprovado,0,1,2,2,2,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0
55,2552,GSI003,72,Aprovado,0,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1
58,2366,GSI003,0,Reprovado,0,2,0,2,2,2,2,0,1,0,2,1,0,0,2,0,0,2,2,2,0,0,2,0,0,0
62,2135,GSI003,82,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
63,2091,GSI003,81,Aprovado,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
64,2091,GSI003,89,Aprovado,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
65,2091,GSI003,68,Aprovado,1,1,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,0
67,2012,GSI003,9,Reprovado,1,1,0,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,1,1,1
72,1897,GSI003,47,Reprovado,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,1,1
79,1959,GSI003,81,Aprovado,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,0
80,2408,GSI003,65,Aprovado,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,0,2,2,1,1,1
82,2135,GSI003,92,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
84,1948,GSI003,74,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
88,2737,GSI003,72,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
91,2722,GSI003,76,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
94,2484,GSI003,86,Aprovado,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
96,2366,GSI003,78,Aprovado,1,2,0,2,2,2,2,1,1,0,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1
99,2322,GSI003,98,Aprovado,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2
102,2322,GSI003,81,Aprovado,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2
