IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
220,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2
224,2643,GSI012,21,Reprovado,1,1,0,1,1,1,2,0,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
228,2670,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
229,2691,GSI012,61,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
235,2643,GSI012,4,Reprovado,1,1,1,1,1,1,2,1,2,1,0,2,1,2,2,2,2,2,2,1,1,1,2
237,2520,GSI012,5,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
241,2028,GSI012,34,Reprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,0,2,2,0,1,0,0
242,2643,GSI012,71,Aprovado,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
243,2293,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
248,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
250,2643,GSI012,80,Aprovado,1,1,1,0,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
252,2545,GSI012,71,Aprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
253,2073,GSI012,77,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
254,2168,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
256,2378,GSI012,73,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
272,1926,GSI012,3,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,1,1,2
274,1771,GSI012,48,Reprovado,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,2
277,1926,GSI012,21,Reprovado,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
284,1929,GSI012,4,Reprovado,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,2
285,2231,GSI012,85,Aprovado,1,0,1,1,1,1,1,1,1,0,1,1,1,2,2,0,1,1,0,1,1,1,2
288,1771,GSI012,100,Aprovado,1,1,1,1,1,1,1,0,1,1,1,1,0,2,2,1,1,1,0,1,1,1,2
289,1926,GSI012,17,Reprovado,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
305,1771,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
315,2001,GSI012,2,Reprovado,1,0,0,0,1,1,1,1,0,1,1,0,1,2,2,1,0,0,0,1,1,1,2
316,1926,GSI012,7,Reprovado,1,1,0,1,1,0,0,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
319,2028,GSI012,65,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
321,2007,GSI012,60,Aprovado,1,1,1,1,1,1,2,1,1,1,2,2,2,0,2,1,1,2,2,0,1,0,0
326,2001,GSI012,80,Aprovado,1,0,1,0,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0,0,1,1,2
335,1956,GSI012,0,Reprovado,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2
373,2073,GSI012,26,Reprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
374,2231,GSI012,0,Reprovado,1,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,1,0,0,2
376,2007,GSI012,12,Reprovado,1,1,1,1,1,0,2,1,0,0,2,2,2,0,2,0,0,2,2,0,0,0,0
384,1956,GSI012,0,Reprovado,1,0,0,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2
390,2007,GSI012,71,Aprovado,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1
392,2007,GSI012,62,Aprovado,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1
393,1929,GSI012,97,Aprovado,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2
405,1956,GSI012,60,Aprovado,1,1,1,1,2,1,1,2,2,1,2,2,2,2,0,2,0,2,2,0,1,1,2
406,2293,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
420,1926,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
421,2007,GSI012,5,Reprovado,1,0,0,0,1,0,2,0,0,0,2,2,2,0,2,0,0,2,2,0,0,0,0
433,2378,GSI012,71,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
437,2073,GSI012,78,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
