IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
80,2177,GSI017,77,Aprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
82,1609,GSI017,46,Reprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1
86,1888,GSI017,0,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
88,1834,GSI017,70,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
94,1668,GSI017,5,Reprovado,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,2,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,1,2,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,2
96,2289,GSI017,61,Aprovado,1,1,1,2,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1
102,1776,GSI017,60,Aprovado,1,1,2,2,1,1,2,1,2,1,1,2,0,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
103,1739,GSI017,62,Aprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1
111,1888,GSI017,94,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
118,1739,GSI017,10,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,0,0,1
120,1834,GSI017,100,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
123,1609,GSI017,78,Aprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,2,1,0,0,2,1,2,0,1,1,1
127,1833,GSI017,6,Reprovado,0,2,2,1,2,1,1,2,0,0,0,2,2,1,1,1,1,2,2,0,0,0,0,0,2,1,1,2,1,2,2,2,2,2,2,0,0,2,2,0,1,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,2,1,0,0,2,2,0,0,0
129,1668,GSI017,9,Reprovado,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,2
131,1953,GSI017,15,Reprovado,1,0,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,1,1,0,1,1,1,2,2,2,2,2,2,2,1,2,2,0,0,2,2,0,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1
133,1740,GSI017,0,Reprovado,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,1,0,0,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,2,2,0,0,0
134,1834,GSI017,17,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
135,2522,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,0,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
143,1834,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
149,2177,GSI017,77,Aprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
161,1739,GSI017,5,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,0,1
164,2522,GSI017,40,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,0,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
171,1834,GSI017,32,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
175,1609,GSI017,0,Reprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1
181,1888,GSI017,63,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
182,1833,GSI017,1,Reprovado,1,2,2,0,2,1,1,2,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,2,1,0,2,0,2,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,1,0,0,2,2,0,0,0
183,1860,GSI017,14,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
204,1834,GSI017,55,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
207,1888,GSI017,83,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
210,1860,GSI017,78,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
211,1834,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
215,1888,GSI017,79,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
216,2668,GSI017,78,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
219,1834,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
220,2522,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,0,0,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
224,1796,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,0,0,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,0,1,1,1,1,1
228,1834,GSI017,51,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
229,1888,GSI017,71,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
235,1796,GSI017,0,Reprovado,0,2,2,2,2,0,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,0,2,0,2,2,2,0,0,0,1,1,0,0,0,2,2,2,2,2,2,1,1,1,2,1,0,1,0,2,2,0,0,0,0,0,0,0
237,1833,GSI017,60,Aprovado,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,0,0,0,0,2,1,0,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,0,2,2,0,1,1
