IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9,2703,GSI004,61,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,2,2
14,2283,GSI004,0,Reprovado,0,0,0,0,0,2,2,2,0,0,2,2,0,2
18,2330,GSI004,89,Aprovado,1,1,2,1,1,2,1,2,1,1,2,2,1,1
19,2153,GSI004,82,Aprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,1
20,2167,GSI004,83,Aprovado,1,1,1,1,1,2,2,2,1,2,2,2,1,1
25,2051,GSI004,68,Aprovado,1,0,1,1,1,1,2,2,1,2,2,2,1,1
30,1921,GSI004,25,Reprovado,1,1,1,2,1,1,2,2,1,2,2,2,1,2
31,1910,GSI004,62,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,0,2
32,1910,GSI004,12,Reprovado,1,0,1,2,1,1,2,2,0,2,2,2,1,2
33,1921,GSI004,88,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,1,2
35,2621,GSI004,96,Aprovado,1,1,1,2,1,2,2,2,1,2,2,2,2,2
36,2621,GSI004,46,Reprovado,1,1,1,2,1,2,2,2,1,2,2,2,2,2
37,1639,GSI004,23,Reprovado,1,1,1,1,1,2,2,2,1,1,2,2,1,2
43,2490,GSI004,36,Reprovado,1,1,1,2,1,1,2,1,1,2,2,2,1,2
51,2703,GSI004,73,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,2,2
52,2703,GSI004,60,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,2,2
54,2486,GSI004,0,Reprovado,1,1,0,0,2,0,1,1,0,1,2,2,0,2
55,2292,GSI004,62,Aprovado,1,1,1,1,1,2,2,2,1,2,2,2,1,1
58,2380,GSI004,0,Reprovado,1,1,1,1,0,2,2,2,0,1,2,2,0,0
63,2092,GSI004,95,Aprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,1
64,2096,GSI004,71,Aprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,1
65,2092,GSI004,39,Reprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,1
67,2051,GSI004,45,Reprovado,1,0,1,1,1,0,2,2,0,2,2,2,0,0
70,1639,GSI004,72,Aprovado,1,1,1,1,1,2,2,2,1,1,2,2,1,2
72,1898,GSI004,4,Reprovado,1,0,1,2,1,1,2,1,1,2,2,2,0,2
79,1967,GSI004,93,Aprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,1
80,2259,GSI004,100,Aprovado,1,0,0,1,1,2,2,2,0,1,2,2,1,2
82,2061,GSI004,64,Aprovado,1,1,1,1,2,1,2,2,1,2,2,2,1,1
84,1955,GSI004,73,Aprovado,1,0,1,2,1,1,2,2,1,2,2,2,1,2
88,1854,GSI004,60,Aprovado,1,1,1,2,1,1,2,1,1,2,2,2,1,2
91,2723,GSI004,60,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,2,2
92,1898,GSI004,61,Aprovado,0,0,1,2,1,0,2,1,1,2,2,2,1,2
94,2364,GSI004,73,Aprovado,1,1,1,0,0,2,2,2,1,1,2,2,1,1
96,2364,GSI004,93,Aprovado,0,1,1,1,1,2,2,2,1,1,2,2,1,0
99,2330,GSI004,100,Aprovado,1,1,2,1,1,2,1,2,1,0,2,2,1,1
102,2333,GSI004,80,Aprovado,1,1,2,1,1,2,1,2,1,1,2,2,1,1
103,2330,GSI004,98,Aprovado,1,1,2,1,1,2,1,2,1,0,2,2,1,1
107,1955,GSI004,69,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,1,2
108,1910,GSI004,51,Reprovado,1,1,1,2,1,1,2,2,1,2,2,2,1,2
109,2096,GSI004,72,Aprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,1
111,2703,GSI004,96,Aprovado,1,1,1,2,1,1,2,2,1,2,2,2,2,2
115,2188,GSI004,91,Aprovado,1,1,1,1,1,2,2,2,1,2,2,2,1,0
117,1995,GSI004,20,Reprovado,1,1,1,1,1,1,2,2,1,2,2,2,1,0
