IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,22,23,26
133,2117,GSI009,71,Aprovado,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2
134,2664,GSI009,48,Reprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
135,2706,GSI009,91,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
138,1915,GSI009,87,Aprovado,0,2,0,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2
141,2873,GSI009,91,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
143,2873,GSI009,85,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
145,2511,GSI009,76,Aprovado,1,2,1,2,0,2,1,2,2,2,1,2,2,2,1,1,2,0,1,2
149,2376,GSI009,91,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2
154,1924,GSI009,80,Aprovado,0,2,0,2,0,0,1,2,2,2,2,2,2,2,0,1,2,2,1,2
155,1983,GSI009,74,Aprovado,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2
160,2376,GSI009,75,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2
161,1983,GSI009,0,Reprovado,0,2,0,2,0,0,0,2,2,2,2,2,2,1,0,0,2,2,0,2
164,2626,GSI009,93,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
171,2706,GSI009,85,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
175,2117,GSI009,73,Aprovado,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2
177,1915,GSI009,71,Aprovado,1,2,1,1,1,1,0,2,2,2,2,2,2,1,1,1,2,2,1,2
181,2706,GSI009,99,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
183,2873,GSI009,89,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
186,2511,GSI009,76,Aprovado,0,2,0,2,1,2,1,2,2,2,1,2,2,2,1,1,2,0,1,2
204,1872,GSI009,0,Reprovado,0,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
207,2706,GSI009,99,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
208,2873,GSI009,88,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
210,2873,GSI009,87,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
211,2729,GSI009,88,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
215,2706,GSI009,99,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
216,2706,GSI009,76,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
218,2706,GSI009,87,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
219,2729,GSI009,90,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
220,2729,GSI009,90,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
224,2706,GSI009,94,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
225,2706,GSI009,80,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
228,2706,GSI009,89,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
229,2706,GSI009,92,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
230,2582,GSI009,0,Reprovado,0,2,0,1,2,0,0,2,2,0,1,0,1,1,1,0,0,0,0,2
235,2664,GSI009,98,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
237,2582,GSI009,91,Aprovado,1,2,1,1,2,1,1,2,2,0,1,1,1,1,1,1,1,1,1,2
241,2626,GSI009,99,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
242,2626,GSI009,98,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
243,2626,GSI009,99,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
244,2582,GSI009,80,Aprovado,1,2,1,1,2,1,1,2,2,1,0,1,1,1,1,0,0,1,1,2
247,2582,GSI009,83,Aprovado,0,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
248,2582,GSI009,84,Aprovado,1,2,0,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
249,2582,GSI009,83,Aprovado,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
250,2626,GSI009,95,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
251,2582,GSI009,73,Aprovado,1,2,0,0,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
252,2511,GSI009,84,Aprovado,0,2,0,2,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2
253,2511,GSI009,78,Aprovado,0,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2
254,2511,GSI009,77,Aprovado,1,2,1,2,1,2,0,2,2,2,1,2,2,2,1,1,2,0,1,2
255,2376,GSI009,0,Reprovado,1,2,0,2,1,2,0,2,2,2,1,2,0,2,0,1,2,0,1,2
256,2511,GSI009,73,Aprovado,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,0,1,2
261,2420,GSI009,92,Aprovado,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,0,1,1
267,1872,GSI009,35,Reprovado,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
268,1880,GSI009,73,Aprovado,0,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,0,1,2
272,2376,GSI009,68,Aprovado,1,2,0,2,1,2,1,2,2,2,1,2,1,2,0,1,2,1,1,2
274,2263,GSI009,94,Aprovado,0,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2
276,1872,GSI009,47,Reprovado,0,2,1,2,1,2,1,2,2,2,1,2,1,1,0,1,2,1,1,2
277,2263,GSI009,90,Aprovado,1,1,0,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2
280,2263,GSI009,84,Aprovado,0,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2
284,2263,GSI009,97,Aprovado,0,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2
285,1880,GSI009,91,Aprovado,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2
287,2156,GSI009,79,Aprovado,0,2,0,2,2,1,1,1,2,1,0,2,1,1,2,1,2,2,1,2
288,2156,GSI009,97,Aprovado,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2
294,1880,GSI009,70,Aprovado,1,2,0,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2
295,2263,GSI009,6,Reprovado,0,0,0,2,2,0,2,2,1,0,1,2,0,2,2,0,2,2,1,2
305,2156,GSI009,88,Aprovado,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2
310,2117,GSI009,76,Aprovado,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2
314,1983,GSI009,0,Reprovado,1,2,1,2,1,0,1,2,2,2,2,2,2,1,1,0,2,2,1,2
315,2009,GSI009,98,Aprovado,0,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
316,2066,GSI009,46,Reprovado,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2
319,2066,GSI009,81,Aprovado,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2
321,2013,GSI009,100,Aprovado,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2
324,2009,GSI009,98,Aprovado,0,2,0,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
325,2009,GSI009,100,Aprovado,1,2,0,2,1,2,1,2,2,2,1,2,1,1,1,0,2,1,1,2
326,2009,GSI009,99,Aprovado,0,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2
327,1983,GSI009,75,Aprovado,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2
328,1983,GSI009,77,Aprovado,0,2,0,2,1,1,1,2,2,2,2,2,2,1,0,1,2,2,1,2
