IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
171,1884,GSI001,71,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
175,2151,GSI001,65,Aprovado,1,1,1,2,1,2,2,1,2,2,2,2,1,1
177,1907,GSI001,84,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
181,1884,GSI001,82,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
184,2055,GSI001,77,Aprovado,1,1,1,0,1,1,2,1,2,2,1,2,1,1
185,1896,GSI001,0,Reprovado,1,0,0,1,0,1,0,2,2,2,2,1,1,1
186,2551,GSI001,77,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
199,1884,GSI001,81,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
207,1884,GSI001,69,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
208,2736,GSI001,0,Reprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
210,2736,GSI001,88,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
211,2736,GSI001,75,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
212,2736,GSI001,60,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
215,1884,GSI001,89,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
216,1884,GSI001,72,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
217,1884,GSI001,55,Reprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
218,1886,GSI001,69,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
219,1886,GSI001,98,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
220,1886,GSI001,86,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
224,1884,GSI001,60,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
225,1884,GSI001,73,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
228,1884,GSI001,77,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
229,1884,GSI001,75,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
230,2619,GSI001,98,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
234,2656,GSI001,0,Reprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
235,2656,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
237,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
241,2619,GSI001,92,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
242,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
243,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
244,2619,GSI001,97,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
247,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
248,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
249,2588,GSI001,89,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
250,2588,GSI001,96,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
251,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
252,2551,GSI001,89,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
253,2551,GSI001,84,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
254,2551,GSI001,85,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
255,2551,GSI001,63,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
256,2551,GSI001,90,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
257,2407,GSI001,8,Reprovado,1,1,0,0,0,0,2,0,0,1,2,1,0,1
261,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,0,2,2,2,1,1
262,2407,GSI001,27,Reprovado,1,0,1,0,1,0,2,1,0,1,2,1,0,1
271,2328,GSI001,70,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
272,2407,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,0,1,1
274,2328,GSI001,82,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
275,1861,GSI001,89,Aprovado,1,1,0,2,0,1,2,1,0,2,2,2,1,0
276,1861,GSI001,92,Aprovado,1,1,0,2,0,1,2,1,1,2,2,2,1,1
277,1861,GSI001,85,Aprovado,1,1,0,2,1,1,2,1,1,2,2,2,1,1
280,2328,GSI001,83,Aprovado,0,1,1,2,2,2,2,2,2,2,2,1,1,1
284,2328,GSI001,75,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
285,2328,GSI001,88,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
287,2185,GSI001,87,Aprovado,1,1,1,2,1,1,2,1,2,2,2,1,1,0
288,2185,GSI001,100,Aprovado,1,1,1,2,1,1,2,1,2,2,2,1,1,1
295,2256,GSI001,89,Aprovado,1,1,1,2,2,1,2,1,2,2,2,1,1,1
302,2185,GSI001,71,Aprovado,1,1,1,2,1,1,2,1,2,2,2,1,1,1
305,2151,GSI001,68,Aprovado,1,1,1,2,1,2,2,1,2,2,2,2,1,1
310,2151,GSI001,64,Aprovado,1,1,1,2,1,2,2,0,2,2,2,2,1,1
312,2055,GSI001,89,Aprovado,1,1,1,1,1,1,2,1,2,2,1,2,1,1
313,2055,GSI001,89,Aprovado,1,1,1,0,1,1,2,1,2,2,1,2,1,1
314,2055,GSI001,96,Aprovado,1,1,1,1,1,1,2,1,2,2,1,2,1,1
315,2055,GSI001,93,Aprovado,1,1,1,0,1,1,2,1,2,2,1,2,1,1
316,2089,GSI001,74,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
318,2008,GSI001,0,Reprovado,1,0,0,1,1,1,2,2,2,2,1,2,0,1
319,2089,GSI001,66,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
321,2008,GSI001,74,Aprovado,1,1,1,1,1,0,2,2,2,2,0,2,1,1
324,2055,GSI001,88,Aprovado,1,1,1,0,1,1,2,1,2,2,1,2,1,1
325,2055,GSI001,94,Aprovado,1,1,1,1,1,1,2,1,2,2,1,2,1,1
326,2055,GSI001,96,Aprovado,1,1,1,1,1,1,2,1,2,2,1,2,1,1
327,1992,GSI001,70,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
328,1992,GSI001,60,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
331,1992,GSI001,60,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
332,1992,GSI001,76,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
333,1896,GSI001,85,Aprovado,1,1,0,1,1,1,1,2,2,2,2,1,1,1
336,1957,GSI001,92,Aprovado,1,1,0,2,1,0,0,1,2,1,0,2,1,2
338,1957,GSI001,97,Aprovado,1,1,1,2,1,1,1,1,2,1,1,2,1,2
339,1907,GSI001,79,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
