IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
562,1634,GSI018,0,Reprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
563,1602,GSI018,0,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
581,1605,GSI018,32,Reprovado,1,1,1,0,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,1,0,2,2,1,0,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,1,2
592,2715,GSI018,71,Aprovado,0,1,1,2,2,2,2,2,2,0,2,1,1,1,0,2,1,1,2,2,2,2,2,2,2,1,1,0,2,2,0,0,0,0,0,2,1,2,0,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2
599,2695,GSI018,60,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
612,1602,GSI018,70,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,0,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
621,2715,GSI018,60,Aprovado,0,1,1,2,2,2,2,2,2,1,2,1,1,0,0,2,1,1,2,2,2,2,2,2,2,1,0,1,2,2,1,0,0,1,1,2,1,2,1,2,0,1,0,0,2,0,2,2,0,1,2,2,2,1,1,2
627,1605,GSI018,43,Reprovado,1,0,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,0,2,2,0,1,2,2,0,0,2,2,2,1,2,0,0,2,0,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
628,1605,GSI018,64,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
630,1686,GSI018,75,Aprovado,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,0
635,1656,GSI018,60,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,1,2
643,2901,GSI018,64,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
646,2695,GSI018,71,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
657,2901,GSI018,69,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
669,1605,GSI018,16,Reprovado,1,0,0,0,1,2,2,2,2,2,1,2,0,2,2,2,2,2,1,1,2,2,1,1,2,2,1,0,2,2,2,1,2,0,1,2,0,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
676,2695,GSI018,77,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
687,2901,GSI018,64,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
688,2715,GSI018,7,Reprovado,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,0,0,1,2,2,1,1,1,1,0,2,1,2,0,2,1,0,1,1,2,0,2,2,0,0,2,2,2,0,0,2
694,2695,GSI018,60,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
697,1835,GSI018,0,Reprovado,1,0,1,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,1,0,0,2,0,0,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
700,2635,GSI018,84,Aprovado,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
702,2715,GSI018,75,Aprovado,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,0,0,1,1,2,0,2,0,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2
709,1802,GSI018,60,Aprovado,1,0,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,0,1,1,2,0,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
710,1711,GSI018,68,Aprovado,0,2,0,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
718,1632,GSI018,29,Reprovado,1,0,2,0,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,0,0,2,2,0,1,1,0,1,0,0,2,1,0,0,1
719,1632,GSI018,87,Aprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,0,1,2,2,0,1,0,1,1,1,1,2,1,1,1,1
721,1632,GSI018,80,Aprovado,1,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,0,1,2,0,2,2,0,0,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1
722,1632,GSI018,63,Aprovado,1,0,2,1,2,2,2,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
723,1681,GSI018,78,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,0,0,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
725,1632,GSI018,75,Aprovado,1,1,2,0,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,0,2,0,2,2,0,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1
730,1632,GSI018,75,Aprovado,1,1,2,0,2,2,2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1
735,1718,GSI018,69,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1
737,1718,GSI018,39,Reprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,1,1
739,1602,GSI018,9,Reprovado,0,1,0,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,1,1,2,2,1,0,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
742,1605,GSI018,66,Aprovado,0,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,0,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,1,2
758,2901,GSI018,80,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
768,1758,GSI018,0,Reprovado,0,0,1,0,2,2,2,0,0,0,0,0,2,0,2,0,2,2,0,0,2,0,2,2,2,2,0,0,0,2,0,0,2,0,2,0,0,2,2,0,0,2,0,0,2,0,2,2,2,2,2,2,2,0,0,2
780,1758,GSI018,63,Aprovado,0,1,0,1,2,2,2,1,1,1,1,0,2,1,2,1,2,2,0,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,0,2,2,2,2,2,2,2,0,1,2
798,2695,GSI018,0,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
804,1758,GSI018,11,Reprovado,0,0,0,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,0,0,2,0,0,2,0,2,0,0,2,2,0,0,2,0,0,2,0,2,2,2,2,2,2,2,0,0,2
820,1632,GSI018,61,Aprovado,1,1,2,1,2,2,2,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,0,2,1,2,2,1,1,1,2,2,0,1,1,1,1,1,1,2,1,1,1,1
844,1686,GSI018,26,Reprovado,1,1,2,1,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,0,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,0,1,2,2,2,1,0,2,2,1,1,0
847,2715,GSI018,66,Aprovado,1,1,0,2,2,2,2,2,2,1,2,1,1,1,0,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,0,0,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2
858,1602,GSI018,0,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
861,2635,GSI018,66,Aprovado,0,0,0,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,0,0,1,0,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
866,2695,GSI018,50,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
885,1656,GSI018,60,Aprovado,0,0,2,1,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,1,2
889,1602,GSI018,18,Reprovado,0,1,0,1,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,0,2,2,1,1,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
895,2901,GSI018,61,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
899,2715,GSI018,84,Aprovado,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,0,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2
911,1681,GSI018,63,Aprovado,1,1,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,0,0,0,2,0,0,2,0,2,0,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
938,1711,GSI018,17,Reprovado,0,2,1,0,2,2,2,0,2,0,0,0,2,0,2,0,2,2,0,2,2,0,2,2,2,2,1,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,0,0,2
989,1602,GSI018,12,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,1,1,2,2,0,0,2,2,2,1,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
1011,1656,GSI018,0,Reprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1048,1656,GSI018,60,Aprovado,0,0,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1083,1605,GSI018,15,Reprovado,1,0,1,1,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,1,2,2,1,0,2,2,1,0,2,2,2,1,2,0,1,2,0,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,0,2
1100,1602,GSI018,0,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,1,0,2,2,0,0,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
1125,1634,GSI018,71,Aprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
1128,1602,GSI018,66,Aprovado,1,1,0,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1141,1758,GSI018,76,Aprovado,1,1,0,1,2,2,2,1,1,1,1,1,2,1,2,0,2,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
1142,1686,GSI018,11,Reprovado,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,0,2,2,2,0,0,2,2,1,1,1
1144,1656,GSI018,60,Aprovado,1,1,2,1,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1147,1681,GSI018,81,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,0,0,2,0,0,2,0,2,0,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1150,1835,GSI018,60,Aprovado,0,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,0,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,0,2,2,2,2,2,2,1,1,2,0,0,2,1,1,2,1,1,2
1155,1632,GSI018,91,Aprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1
1163,2742,GSI018,86,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1168,1758,GSI018,78,Aprovado,0,0,0,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,0,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,0,2,2,2,2,2,2,2,0,1,2
1170,1824,GSI018,63,Aprovado,1,0,1,0,1,1,2,1,2,2,2,2,1,2,2,2,2,2,0,1,1,2,1,1,2,2,0,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
1171,1681,GSI018,68,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,0,2,2,2,2,1,0,0,2,1,1,2,1,2,1,0,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1176,1602,GSI018,7,Reprovado,1,1,1,0,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,0,1,2,2,1,1,2,2,2,1,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
1178,1718,GSI018,64,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,1,1
1179,1605,GSI018,44,Reprovado,1,0,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,1,2,0,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,0,2
1190,2742,GSI018,94,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1209,1632,GSI018,76,Aprovado,0,0,2,0,2,2,2,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
1210,2635,GSI018,75,Aprovado,1,1,1,1,1,2,2,2,2,2,1,0,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,0,2,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,1
1215,1758,GSI018,72,Aprovado,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,0,2,2,1,0,2,0,0,2,1,2,2,2,2,2,2,2,1,1,2
1224,1634,GSI018,47,Reprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
1228,1632,GSI018,0,Reprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,2,1,1,2,0,2,2,0,0,0,2,2,0,1,0,0,1,0,0,2,1,0,0,0
1229,1718,GSI018,70,Aprovado,0,1,2,0,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,1,1
1260,1802,GSI018,49,Reprovado,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,0,1,1,2,1,1,2,2,0,0,2,1,0,0,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,0,0,2,1,1,2,0,0,2
1262,1632,GSI018,39,Reprovado,1,1,2,0,2,2,2,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,2,1,1,2,1,2,2,1,0,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
1275,1632,GSI018,90,Aprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1
1279,1605,GSI018,56,Reprovado,1,1,0,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,0,2,2,1,1,2,2,2,1,2,1,0,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,0,2
1284,1634,GSI018,63,Aprovado,1,0,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
1285,1656,GSI018,67,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1291,1602,GSI018,44,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,0,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,1,2,0,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1303,1632,GSI018,66,Aprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,0,1,1,1,1,1,1,2,1,1,1,1
1311,1605,GSI018,17,Reprovado,0,0,0,0,0,2,2,2,2,2,1,2,1,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2
1317,2742,GSI018,86,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1319,1711,GSI018,26,Reprovado,1,2,1,0,2,2,2,0,2,1,0,1,2,0,2,0,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,0,2,2,2,2,2,2,2,1,1,2
1321,1681,GSI018,81,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
1325,1686,GSI018,74,Aprovado,0,0,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,0,0,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,0
1329,2635,GSI018,77,Aprovado,1,1,1,1,1,2,2,2,2,2,1,0,0,2,1,2,2,2,2,1,2,2,1,0,1,1,0,0,2,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
1331,1711,GSI018,100,Aprovado,0,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,0,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,0,2,2,2,2,2,2,2,1,1,2
1341,2695,GSI018,56,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1342,2695,GSI018,58,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1344,2635,GSI018,79,Aprovado,0,1,1,1,1,2,2,2,2,2,1,0,1,2,1,2,2,2,2,1,2,2,1,0,0,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
1345,1824,GSI018,75,Aprovado,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,0,2,0,0,2,2,1,1,2,1,1,1,2,1,2,2,2,0,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
1348,1719,GSI018,65,Aprovado,0,1,1,1,1,2,1,1,1,1,1,1,2,1,2,0,2,2,0,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,0,2,2,2,2,2,2,2,1,1,2
1356,1632,GSI018,50,Reprovado,0,1,2,0,2,2,2,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,1,0,2,2,1,1,1,1,0,1,1,2,1,1,0,1
1357,1718,GSI018,0,Reprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1
1365,2901,GSI018,83,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1370,1824,GSI018,0,Reprovado,0,0,0,0,0,0,2,1,2,2,2,2,0,2,2,2,2,2,0,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,2,2,2,1,2,2,2,2,2,2,1,0,2,0,0,2,0,0,2,1,0,2
1371,1719,GSI018,74,Aprovado,0,1,1,0,1,2,1,0,0,1,0,1,2,0,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
1373,1758,GSI018,61,Aprovado,1,1,1,1,2,2,2,1,1,1,1,0,2,1,2,1,2,2,0,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,0,2,2,0,0,2,0,0,2,1,2,2,2,2,2,2,2,0,1,2
