IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18,20,21,22,23,24,25,28,29,30,31,33,34,35,37,38,39
9,2705,GSI008,65,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1
18,2316,GSI008,66,Aprovado,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,0,1,2,1,1,1,2,1,1,1
19,2139,GSI008,72,Aprovado,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,0,2,2,2,2,1,1,2,1,2,1,1,1,1,1
20,1714,GSI008,81,Aprovado,1,1,2,1,2,1,2,2,2,2,1,1,1,0,2,2,0,1,2,2,2,2,0,1,2,2,2,1,2,1,1,1
25,2023,GSI008,68,Aprovado,1,1,2,2,2,1,2,2,2,2,1,0,1,1,1,2,0,1,2,1,2,2,1,1,2,1,2,1,2,1,1,1
31,1912,GSI008,73,Aprovado,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1
32,1914,GSI008,15,Reprovado,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1
33,1914,GSI008,60,Aprovado,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1
35,2625,GSI008,90,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1
36,2625,GSI008,60,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1
37,2050,GSI008,69,Aprovado,1,0,2,2,2,0,2,2,2,2,1,1,1,0,0,2,1,1,2,1,2,2,0,1,2,1,2,1,2,1,1,1
43,2488,GSI008,66,Aprovado,0,1,2,1,2,0,1,1,1,1,2,1,1,2,2,2,1,1,2,2,0,1,1,1,1,1,2,1,1,1,1,2
51,2705,GSI008,79,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1
52,2705,GSI008,70,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1
55,2116,GSI008,45,Reprovado,1,1,2,2,2,1,2,2,2,1,2,1,0,0,2,2,0,0,2,2,2,2,1,0,2,0,2,0,0,1,0,0
63,2098,GSI008,89,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2
64,2098,GSI008,64,Aprovado,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2
66,1714,GSI008,66,Aprovado,0,1,2,1,2,1,2,2,2,2,1,0,1,1,2,2,0,0,2,2,2,2,0,0,2,2,2,1,2,1,1,1
70,1978,GSI008,60,Aprovado,1,1,2,1,2,1,2,2,2,2,0,1,1,1,1,2,1,1,2,1,2,2,0,1,2,2,2,0,2,1,1,1
72,1943,GSI008,4,Reprovado,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,0,1,0,0,1
79,1596,GSI008,71,Aprovado,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1
80,2434,GSI008,70,Aprovado,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1
82,2078,GSI008,62,Aprovado,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,0,0,2
84,1923,GSI008,80,Aprovado,1,1,2,2,0,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,1
