IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,22,23,24,25,26,27,28,29,30
9,2509,GSI013,21,Reprovado,0,2,2,0,2,0,0,0,2,0,2,0,0,2,2,2,2,2,2,1,2,0,0,2,0,1,0
13,1715,GSI013,0,Reprovado,1,1,2,2,2,2,1,0,0,1,2,2,1,2,1,1,0,2,1,2,2,2,2,2,1,0,1
18,2194,GSI013,76,Aprovado,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1
19,1583,GSI013,70,Aprovado,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,0,0,2
20,1646,GSI013,67,Aprovado,0,1,2,2,2,2,1,1,0,1,2,1,2,2,1,2,0,2,0,2,2,2,2,2,1,1,1
25,1986,GSI013,67,Aprovado,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1
35,2632,GSI013,69,Aprovado,0,2,2,2,1,1,2,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
37,1986,GSI013,64,Aprovado,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,0,2,1,2,2,2,2,2,1,1,1
43,2428,GSI013,56,Reprovado,1,2,2,1,2,1,1,1,2,0,2,0,0,2,2,2,2,2,2,0,2,1,0,2,1,1,0
51,2632,GSI013,48,Reprovado,1,2,2,2,1,1,2,1,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,1,1
52,2632,GSI013,77,Aprovado,1,2,2,2,0,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
63,1722,GSI013,78,Aprovado,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1
64,1722,GSI013,82,Aprovado,1,1,2,2,2,2,0,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1
66,1585,GSI013,0,Reprovado,0,0,1,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0
76,1583,GSI013,20,Reprovado,1,1,2,1,2,2,2,0,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,0,0,2
79,1585,GSI013,79,Aprovado,0,1,1,1,2,2,0,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1
80,2323,GSI013,73,Aprovado,1,1,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2
82,1722,GSI013,74,Aprovado,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1
84,1583,GSI013,80,Aprovado,1,1,2,1,2,2,2,1,2,2,1,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,2
88,2739,GSI013,60,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
92,1715,GSI013,60,Aprovado,0,0,2,2,2,2,1,1,1,1,2,2,1,2,1,1,0,2,1,2,2,2,2,2,1,1,1
94,1715,GSI013,52,Reprovado,0,1,2,2,2,2,1,0,0,1,2,2,1,2,1,1,0,2,1,2,2,2,2,2,1,1,1
96,2276,GSI013,70,Aprovado,1,1,2,1,2,2,2,1,0,2,1,2,2,0,2,2,2,1,2,2,1,2,1,2,2,1,2
99,2194,GSI013,83,Aprovado,1,0,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1
102,2169,GSI013,90,Aprovado,0,1,2,1,2,2,1,1,1,1,1,1,1,0,2,2,2,0,1,1,2,1,1,1,1,1,1
103,2194,GSI013,65,Aprovado,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1
109,1986,GSI013,66,Aprovado,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1
111,2692,GSI013,73,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
115,1986,GSI013,23,Reprovado,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,0,0
119,2547,GSI013,45,Reprovado,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1
121,2546,GSI013,0,Reprovado,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1
123,1722,GSI013,86,Aprovado,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1
127,1830,GSI013,67,Aprovado,1,2,2,1,0,1,1,1,2,2,0,0,2,1,1,1,2,1,1,1,2,2,0,2,2,1,2
129,1646,GSI013,75,Aprovado,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,1,1
133,1722,GSI013,63,Aprovado,1,0,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,0,1,1
135,2692,GSI013,52,Reprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
141,2818,GSI013,64,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
143,2739,GSI013,51,Reprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
145,2194,GSI013,70,Aprovado,1,1,2,1,2,2,1,2,1,2,1,0,1,1,1,2,2,0,1,1,1,2,1,1,1,1,1
149,2264,GSI013,60,Aprovado,1,1,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2
164,2632,GSI013,56,Reprovado,1,2,2,2,0,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
171,2692,GSI013,60,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
175,1722,GSI013,68,Aprovado,1,0,2,2,2,2,1,2,1,1,2,1,1,2,0,1,2,2,0,2,2,2,2,2,1,1,1
181,2692,GSI013,66,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
183,2632,GSI013,0,Reprovado,1,2,2,2,0,0,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0
186,2546,GSI013,64,Aprovado,0,0,2,2,0,0,1,0,1,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,1,1,1
207,2692,GSI013,74,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
210,2739,GSI013,73,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
211,2739,GSI013,60,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
215,2692,GSI013,78,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
216,2714,GSI013,72,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
218,2632,GSI013,64,Aprovado,1,2,2,2,0,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
219,2818,GSI013,61,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
220,2632,GSI013,61,Aprovado,1,2,2,2,0,1,2,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
228,2714,GSI013,73,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
229,2692,GSI013,60,Aprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
235,2714,GSI013,8,Reprovado,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1
237,1830,GSI013,60,Aprovado,1,2,2,1,0,1,1,1,2,2,1,0,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2
241,2632,GSI013,68,Aprovado,1,2,2,2,0,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
242,2632,GSI013,60,Aprovado,1,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
243,2632,GSI013,71,Aprovado,1,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
