IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21,22,23,26,27,28
9,2631,GSI006,47,Reprovado,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
18,1845,GSI006,60,Aprovado,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
19,1640,GSI006,0,Reprovado,1,2,2,2,2,2,2,2,2,0,0,1,1,0,0,0,2,0,2,0,2,1,1,1
20,1919,GSI006,66,Aprovado,1,1,0,2,2,2,2,1,2,1,0,1,0,2,0,1,2,1,0,0,0,2,1,1
25,2022,GSI006,60,Aprovado,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1
33,1589,GSI006,78,Aprovado,1,1,1,2,2,2,2,1,2,1,0,1,0,2,1,1,2,0,1,1,1,2,1,1
35,2651,GSI006,63,Aprovado,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
36,2651,GSI006,74,Aprovado,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
43,1752,GSI006,35,Reprovado,1,1,1,2,1,0,2,1,0,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
51,2631,GSI006,28,Reprovado,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
52,2631,GSI006,69,Aprovado,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
55,1752,GSI006,0,Reprovado,1,1,1,2,1,1,2,1,0,0,2,2,1,1,1,1,1,1,2,1,2,1,1,1
62,1640,GSI006,60,Aprovado,1,2,2,2,2,2,2,2,2,0,0,1,1,1,0,1,2,0,2,0,2,1,1,1
63,2097,GSI006,84,Aprovado,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
64,2097,GSI006,71,Aprovado,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
66,1589,GSI006,0,Reprovado,1,1,0,2,2,2,2,0,2,1,0,0,0,2,0,0,2,0,1,0,1,2,1,1
70,1618,GSI006,39,Reprovado,0,1,1,2,2,2,2,0,2,1,0,1,0,2,0,0,2,1,1,0,1,1,1,1
79,1647,GSI006,91,Aprovado,0,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1
