IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,5,6,7,8,9,10,11,12,13,15,16,17,18
241,1769,GSI011,70,Aprovado,1,1,2,1,2,0,2,2,2,1,0,1,1,2,1,1
242,2636,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
243,1827,GSI011,89,Aprovado,1,1,2,1,2,1,2,1,2,1,1,1,1,0,1,1
247,1742,GSI011,0,Reprovado,0,0,2,2,2,0,2,0,0,0,0,0,2,0,0,2
248,2596,GSI011,60,Aprovado,1,1,1,2,1,0,1,1,1,1,0,1,0,0,1,0
250,2636,GSI011,45,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
252,1795,GSI011,77,Aprovado,0,0,1,1,0,1,2,0,1,2,1,2,1,0,1,2
253,1795,GSI011,13,Reprovado,1,0,0,1,0,0,2,0,0,2,0,2,0,0,1,2
254,1769,GSI011,74,Aprovado,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1
256,2438,GSI011,68,Aprovado,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1
265,1797,GSI011,50,Reprovado,1,0,2,2,2,1,2,2,2,1,0,2,2,2,1,1
272,1584,GSI011,60,Aprovado,1,1,1,2,2,1,2,1,0,1,1,1,2,2,1,1
274,1651,GSI011,66,Aprovado,1,1,2,2,2,1,2,1,0,0,1,1,2,1,1,1
277,1683,GSI011,69,Aprovado,2,1,0,2,2,1,2,1,2,0,1,2,1,1,1,2
284,1683,GSI011,60,Aprovado,2,1,0,2,2,0,2,0,2,0,1,2,1,1,1,2
285,1783,GSI011,89,Aprovado,0,1,2,0,2,1,2,1,2,1,1,0,1,1,1,1
287,1584,GSI011,17,Reprovado,1,1,1,2,2,1,2,0,0,1,1,1,2,2,1,1
288,1705,GSI011,89,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
289,1651,GSI011,13,Reprovado,1,0,2,2,2,1,2,0,0,0,1,0,2,1,1,1
297,1657,GSI011,53,Reprovado,1,1,1,2,2,1,2,1,1,1,1,0,2,1,1,1
316,1657,GSI011,39,Reprovado,1,1,1,2,2,1,2,0,1,1,1,0,2,1,1,1
319,2014,GSI011,60,Aprovado,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2
321,1657,GSI011,77,Aprovado,1,1,1,2,2,1,2,1,1,0,0,1,2,1,1,1
325,1584,GSI011,0,Reprovado,1,1,1,2,2,1,2,1,0,0,0,1,2,2,0,0
326,1683,GSI011,74,Aprovado,2,1,1,2,2,1,2,1,2,0,1,2,1,1,1,2
348,1939,GSI011,0,Reprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
373,1783,GSI011,73,Aprovado,0,1,2,1,2,1,2,0,2,1,0,1,1,1,1,1
374,2596,GSI011,63,Aprovado,1,1,0,2,1,1,1,1,0,1,1,1,1,0,0,0
375,1783,GSI011,37,Reprovado,1,1,2,1,2,1,2,0,2,1,0,0,1,1,1,1
380,1797,GSI011,90,Aprovado,1,1,2,2,2,0,2,2,2,1,0,2,2,2,1,1
384,1783,GSI011,79,Aprovado,1,1,2,0,2,1,2,1,2,1,1,1,1,1,1,1
387,1769,GSI011,78,Aprovado,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1
390,1657,GSI011,74,Aprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
392,1657,GSI011,67,Aprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
393,1939,GSI011,83,Aprovado,1,1,1,2,2,1,2,1,0,1,1,1,2,1,1,1
406,1795,GSI011,46,Reprovado,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2
407,1742,GSI011,62,Aprovado,1,1,2,2,2,1,2,0,1,1,1,1,2,1,1,2
420,1584,GSI011,85,Aprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1
430,1769,GSI011,68,Aprovado,1,1,2,1,2,0,2,2,2,0,1,0,1,2,1,1
433,1797,GSI011,77,Aprovado,1,1,2,2,2,0,2,2,2,1,0,2,2,2,1,1
437,1742,GSI011,66,Aprovado,1,1,2,2,2,1,2,1,1,1,1,0,2,1,1,2
449,1795,GSI011,9,Reprovado,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2
450,1895,GSI011,17,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
455,1769,GSI011,83,Aprovado,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1
464,1795,GSI011,61,Aprovado,0,1,0,1,0,0,2,0,1,2,1,2,0,0,1,2
468,2438,GSI011,56,Reprovado,1,0,2,1,2,1,2,2,2,1,0,2,2,2,1,1
476,2596,GSI011,69,Aprovado,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0
481,1742,GSI011,24,Reprovado,1,0,2,2,2,1,2,1,1,1,1,0,2,1,1,2
487,1651,GSI011,63,Aprovado,1,1,2,2,2,0,2,1,1,0,1,1,2,1,1,1
496,1939,GSI011,98,Aprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
502,2534,GSI011,72,Aprovado,2,0,2,2,1,1,1,1,1,0,1,1,1,1,1,2
506,2636,GSI011,19,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
519,2014,GSI011,53,Reprovado,2,1,1,2,2,1,2,1,2,1,0,2,1,1,1,2
523,2438,GSI011,93,Aprovado,1,0,2,1,2,1,2,2,2,1,0,2,2,2,1,1
528,1584,GSI011,0,Reprovado,1,1,1,2,2,1,2,0,0,0,0,1,2,2,0,0
532,1795,GSI011,65,Aprovado,1,1,1,1,0,0,2,1,1,2,1,2,1,1,1,2
549,2596,GSI011,70,Aprovado,1,1,1,2,1,0,1,1,1,1,1,1,1,1,0,0
555,1705,GSI011,67,Aprovado,1,1,2,2,2,1,2,1,0,1,1,1,2,1,1,2
557,1705,GSI011,91,Aprovado,1,1,2,2,2,1,2,1,0,0,1,1,2,1,1,2
561,1705,GSI011,13,Reprovado,1,0,2,2,2,1,2,1,0,1,1,0,2,1,1,2
563,1657,GSI011,0,Reprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
581,1742,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
584,1887,GSI011,61,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
592,2438,GSI011,79,Aprovado,0,0,2,1,2,0,2,2,2,1,0,2,2,2,1,1
595,1683,GSI011,0,Reprovado,2,1,1,2,2,0,2,0,2,0,0,2,1,0,0,2
599,1895,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
612,1683,GSI011,61,Aprovado,2,1,1,2,2,1,2,1,2,0,1,2,1,1,1,2
621,2713,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
628,1651,GSI011,73,Aprovado,1,1,2,2,2,1,2,0,0,1,1,1,2,1,1,1
643,1887,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
646,1895,GSI011,85,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
657,1887,GSI011,48,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
659,1769,GSI011,44,Reprovado,1,1,2,1,2,1,2,2,2,0,1,1,1,2,1,1
675,1939,GSI011,54,Reprovado,1,1,1,2,2,1,2,0,1,1,1,1,2,1,1,1
676,1895,GSI011,68,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
687,1887,GSI011,47,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
688,2636,GSI011,5,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
694,2690,GSI011,88,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
697,2596,GSI011,0,Reprovado,0,1,0,2,1,0,1,1,0,1,1,1,1,1,1,1
700,2636,GSI011,63,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
702,2713,GSI011,69,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
709,1795,GSI011,82,Aprovado,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2
710,2438,GSI011,87,Aprovado,1,0,2,1,2,0,2,2,2,1,0,2,2,2,1,1
716,1742,GSI011,66,Aprovado,1,1,2,2,2,1,2,1,0,1,1,1,2,1,1,2
719,1769,GSI011,86,Aprovado,1,1,2,1,2,1,2,2,2,1,0,1,1,2,1,1
721,1584,GSI011,60,Aprovado,1,1,1,2,2,1,2,1,1,1,0,1,2,2,1,1
722,1651,GSI011,0,Reprovado,1,0,2,2,2,0,2,0,0,0,1,0,2,1,0,1
723,1783,GSI011,82,Aprovado,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
725,1584,GSI011,16,Reprovado,1,1,1,2,2,1,2,1,0,1,1,1,2,2,1,1
730,1705,GSI011,80,Aprovado,1,1,2,2,2,1,2,1,1,0,1,0,2,1,1,2
735,2014,GSI011,60,Aprovado,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2
739,1584,GSI011,81,Aprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1
742,1657,GSI011,70,Aprovado,1,0,1,2,2,1,2,0,1,1,0,1,2,0,1,1
757,1887,GSI011,63,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
758,1887,GSI011,64,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
768,1795,GSI011,65,Aprovado,1,1,1,1,0,1,2,0,1,2,1,2,0,0,1,2
771,1769,GSI011,0,Reprovado,1,0,2,0,2,0,2,2,2,0,0,0,1,2,0,1
782,1651,GSI011,69,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1
786,1584,GSI011,17,Reprovado,1,1,1,2,2,1,2,0,0,0,0,1,2,2,0,0
793,1584,GSI011,12,Reprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1
798,2713,GSI011,6,Reprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
801,1705,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,0,1,1,1,2,1,1,2
820,2327,GSI011,61,Aprovado,1,1,2,1,2,0,2,1,2,1,0,1,1,1,1,1
845,1939,GSI011,0,Reprovado,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
847,2713,GSI011,60,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
858,1651,GSI011,62,Aprovado,1,0,2,2,2,0,2,0,0,0,1,1,2,1,1,1
859,1795,GSI011,39,Reprovado,0,1,1,1,1,0,2,0,1,2,1,2,1,1,1,2
861,2438,GSI011,93,Aprovado,0,0,2,1,2,1,2,2,2,1,0,2,2,2,1,1
866,1894,GSI011,77,Aprovado,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
885,1651,GSI011,67,Aprovado,1,0,2,2,2,1,2,1,0,1,1,1,2,1,1,1
889,1683,GSI011,30,Reprovado,2,1,0,2,2,1,2,0,2,0,0,2,1,1,1,2
