IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
248,1817,GSI020,1,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
250,2672,GSI020,69,Aprovado,1,2,2,2,2,1,1,1,2,2,1,0,1,2,2,2,2,2,1,2
252,1846,GSI020,83,Aprovado,1,0,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,0,1
253,1753,GSI020,11,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
254,1817,GSI020,66,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
256,1817,GSI020,69,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
265,1753,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
267,2394,GSI020,0,Reprovado,1,0,0,0,2,2,2,2,2,2,0,2,0,2,2,2,2,0,0,0
272,1808,GSI020,77,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
274,1808,GSI020,64,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
277,1631,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
284,1808,GSI020,60,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
285,1815,GSI020,83,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
287,1704,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
288,1808,GSI020,99,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
289,1817,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
305,1684,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
306,1637,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
315,1684,GSI020,70,Aprovado,1,2,1,2,0,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
319,1637,GSI020,60,Aprovado,1,2,0,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
321,1631,GSI020,72,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
326,1684,GSI020,98,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
373,1815,GSI020,69,Aprovado,1,2,2,1,2,2,2,0,2,2,0,2,2,2,2,2,2,1,1,1
374,1864,GSI020,72,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
375,1753,GSI020,11,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
376,1637,GSI020,60,Aprovado,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
380,1817,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
384,1815,GSI020,76,Aprovado,1,2,2,1,2,2,2,0,2,2,1,2,2,2,2,2,2,1,1,1
390,1631,GSI020,85,Aprovado,1,2,1,2,0,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
392,1631,GSI020,80,Aprovado,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
393,1704,GSI020,88,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
396,1590,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
406,2394,GSI020,63,Aprovado,1,0,1,0,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1
407,1631,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
420,1590,GSI020,90,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
433,1817,GSI020,72,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
437,2037,GSI020,75,Aprovado,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
450,2527,GSI020,18,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
455,1777,GSI020,66,Aprovado,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
464,1815,GSI020,0,Reprovado,1,2,2,1,2,2,2,0,2,2,0,2,2,2,2,2,2,0,1,1
468,1846,GSI020,63,Aprovado,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,0,1
