IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
130,2331,GSI002,30,Reprovado,0,2,1,2,2,0,0,1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1,1
131,1993,GSI002,75,Aprovado,1,2,2,2,1,0,1,1,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,2
132,2026,GSI002,63,Aprovado,1,2,2,2,1,1,1,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,1,2
133,2152,GSI002,43,Reprovado,1,2,2,2,1,1,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
134,2702,GSI002,65,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
135,2630,GSI002,63,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
138,1916,GSI002,73,Aprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
143,2735,GSI002,72,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
145,2561,GSI002,81,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2
146,2329,GSI002,0,Reprovado,0,1,1,1,1,1,0,0,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1
149,2365,GSI002,65,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,0,1,2,2,2,2,1,2,2,0,2
154,1917,GSI002,17,Reprovado,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,2,1,1,1,0
155,1993,GSI002,72,Aprovado,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2
160,2365,GSI002,75,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
161,1917,GSI002,0,Reprovado,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
164,2623,GSI002,99,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
168,2331,GSI002,0,Reprovado,0,2,0,2,2,0,0,0,2,0,2,2,2,0,1,2,2,2,2,0,2,0,0,1
171,2712,GSI002,66,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
175,2173,GSI002,78,Aprovado,1,2,2,2,0,1,1,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,1,2
177,1916,GSI002,4,Reprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,0,1,1,1,1,2,1,2
181,2702,GSI002,86,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
182,2379,GSI002,20,Reprovado,1,2,1,2,1,0,1,0,2,1,2,2,2,0,2,2,2,2,2,1,2,0,0,0
184,1976,GSI002,0,Reprovado,0,2,2,2,2,0,2,2,1,0,2,2,0,0,1,0,2,2,0,0,2,0,0,2
