IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2
352,1954,GSI002,22,Reprovado,1,1
361,2406,GSI002,32,Reprovado,1,2
362,1900,GSI002,0,Reprovado,1,1
373,2553,GSI002,88,Aprovado,1,2
374,2591,GSI002,68,Aprovado,1,2
376,2413,GSI002,64,Aprovado,1,2
377,2493,GSI002,0,Reprovado,1,2
378,2379,GSI002,0,Reprovado,1,2
380,2456,GSI002,76,Aprovado,1,2
384,2329,GSI002,93,Aprovado,1,1
387,2282,GSI002,59,Reprovado,1,1
390,2025,GSI002,87,Aprovado,1,2
392,2026,GSI002,79,Aprovado,1,2
393,2005,GSI002,89,Aprovado,1,2
395,1947,GSI002,56,Reprovado,1,1
396,1947,GSI002,80,Aprovado,1,1
398,1976,GSI002,0,Reprovado,1,2
399,1890,GSI002,61,Aprovado,1,1
400,1916,GSI002,65,Aprovado,1,1
404,1908,GSI002,73,Aprovado,1,1
406,2623,GSI002,76,Aprovado,1,2
410,2553,GSI002,16,Reprovado,1,2
412,2677,GSI002,88,Aprovado,1,2
419,2493,GSI002,60,Aprovado,1,2
420,1966,GSI002,89,Aprovado,1,1
421,2005,GSI002,60,Aprovado,0,2
425,1916,GSI002,99,Aprovado,1,1
427,1916,GSI002,20,Reprovado,1,1
429,1900,GSI002,14,Reprovado,1,1
433,2413,GSI002,95,Aprovado,1,2
434,2335,GSI002,93,Aprovado,1,1
435,2257,GSI002,0,Reprovado,1,1
437,2152,GSI002,69,Aprovado,1,2
440,1916,GSI002,74,Aprovado,1,1
441,1890,GSI002,10,Reprovado,1,1
442,1890,GSI002,96,Aprovado,1,1
450,2735,GSI002,60,Aprovado,1,2
452,2257,GSI002,0,Reprovado,0,1
455,2257,GSI002,73,Aprovado,1,1
462,2721,GSI002,62,Aprovado,1,2
464,2598,GSI002,100,Aprovado,1,2
468,2721,GSI002,64,Aprovado,1,2
469,2721,GSI002,61,Aprovado,1,2
473,2659,GSI002,96,Aprovado,1,2
474,2423,GSI002,77,Aprovado,0,1
476,2591,GSI002,100,Aprovado,1,2
481,2186,GSI002,84,Aprovado,1,1
484,2159,GSI002,81,Aprovado,1,1
486,2101,GSI002,1,Reprovado,1,1
494,1930,GSI002,0,Reprovado,1,2
496,1954,GSI002,99,Aprovado,1,1
497,1890,GSI002,42,Reprovado,1,1
499,2721,GSI002,0,Reprovado,1,2
502,2482,GSI002,90,Aprovado,1,2
506,2721,GSI002,60,Aprovado,1,2
507,2377,GSI002,8,Reprovado,0,2
511,1993,GSI002,68,Aprovado,1,2
513,2090,GSI002,10,Reprovado,1,2
519,2090,GSI002,60,Aprovado,1,2
522,2090,GSI002,30,Reprovado,1,2
523,2456,GSI002,100,Aprovado,1,2
528,2095,GSI002,69,Aprovado,1,2
530,2365,GSI002,10,Reprovado,1,2
532,2553,GSI002,90,Aprovado,1,2
538,1958,GSI002,12,Reprovado,1,1
541,2152,GSI002,19,Reprovado,1,2
544,2377,GSI002,62,Aprovado,1,2
545,1890,GSI002,35,Reprovado,0,1
549,2591,GSI002,77,Aprovado,1,2
554,2186,GSI002,88,Aprovado,1,1
555,2186,GSI002,74,Aprovado,1,1
557,2196,GSI002,97,Aprovado,1,1
562,2056,GSI002,60,Aprovado,1,2
563,2025,GSI002,88,Aprovado,1,2
569,2005,GSI002,84,Aprovado,1,2
573,1900,GSI002,0,Reprovado,1,1
577,2453,GSI002,60,Aprovado,1,2
578,2413,GSI002,0,Reprovado,0,2
580,2261,GSI002,0,Reprovado,0,2
581,2331,GSI002,63,Aprovado,0,2
584,2735,GSI002,94,Aprovado,1,2
585,1916,GSI002,30,Reprovado,1,1
591,2048,GSI002,4,Reprovado,0,2
592,2702,GSI002,81,Aprovado,1,2
596,1890,GSI002,34,Reprovado,1,1
599,2721,GSI002,60,Aprovado,1,2
600,2659,GSI002,40,Reprovado,1,2
604,2456,GSI002,23,Reprovado,1,2
611,1958,GSI002,2,Reprovado,1,1
612,2056,GSI002,73,Aprovado,1,2
616,1900,GSI002,0,Reprovado,1,1
617,1908,GSI002,50,Reprovado,1,1
619,1900,GSI002,0,Reprovado,1,1
621,2677,GSI002,100,Aprovado,1,2
623,1916,GSI002,68,Aprovado,1,1
626,2011,GSI002,66,Aprovado,0,2
627,2025,GSI002,0,Reprovado,1,2
628,2011,GSI002,91,Aprovado,1,2
633,2335,GSI002,61,Aprovado,1,1
634,2598,GSI002,61,Aprovado,1,2
639,1916,GSI002,60,Aprovado,1,1
640,1900,GSI002,77,Aprovado,1,1
643,2735,GSI002,0,Reprovado,1,2
650,2735,GSI002,11,Reprovado,1,2
652,2598,GSI002,9,Reprovado,1,2
653,1900,GSI002,74,Aprovado,1,1
655,2493,GSI002,60,Aprovado,1,2
657,2735,GSI002,60,Aprovado,1,2
658,2611,GSI002,60,Aprovado,1,2
659,2282,GSI002,82,Aprovado,0,1
660,1976,GSI002,9,Reprovado,1,2
662,2159,GSI002,0,Reprovado,1,0
668,1917,GSI002,0,Reprovado,0,0
669,2101,GSI002,60,Aprovado,1,1
675,1954,GSI002,70,Aprovado,1,1
676,2721,GSI002,97,Aprovado,1,2
677,1900,GSI002,1,Reprovado,1,1
686,2659,GSI002,63,Aprovado,1,2
687,2735,GSI002,60,Aprovado,1,2
688,2721,GSI002,60,Aprovado,1,2
694,2702,GSI002,82,Aprovado,1,2
695,2659,GSI002,67,Aprovado,1,2
696,2591,GSI002,29,Reprovado,1,2
697,2712,GSI002,86,Aprovado,1,2
698,2721,GSI002,69,Aprovado,1,2
700,2630,GSI002,79,Aprovado,1,2
701,2423,GSI002,44,Reprovado,0,1
702,2677,GSI002,100,Aprovado,1,2
703,2559,GSI002,0,Reprovado,0,2
705,2453,GSI002,0,Reprovado,1,2
706,2598,GSI002,53,Reprovado,1,2
709,2598,GSI002,68,Aprovado,1,2
710,2456,GSI002,78,Aprovado,1,2
711,2257,GSI002,46,Reprovado,0,1
712,2453,GSI002,69,Aprovado,1,2
717,2335,GSI002,15,Reprovado,0,1
719,2331,GSI002,79,Aprovado,0,2
722,2329,GSI002,53,Reprovado,1,1
723,2335,GSI002,89,Aprovado,1,1
728,2257,GSI002,27,Reprovado,1,1
730,2196,GSI002,78,Aprovado,1,1
733,2196,GSI002,64,Aprovado,1,1
735,2090,GSI002,67,Aprovado,1,2
737,2152,GSI002,64,Aprovado,1,2
739,1958,GSI002,86,Aprovado,1,1
742,2090,GSI002,61,Aprovado,0,2
743,2005,GSI002,72,Aprovado,1,2
748,1916,GSI002,69,Aprovado,1,1
749,1908,GSI002,66,Aprovado,1,1
750,1908,GSI002,0,Reprovado,1,1
751,1890,GSI002,0,Reprovado,0,1
752,1900,GSI002,0,Reprovado,1,1
757,2735,GSI002,94,Aprovado,1,2
758,2735,GSI002,79,Aprovado,1,2
762,2659,GSI002,67,Aprovado,1,2
768,2591,GSI002,46,Reprovado,1,2
769,2559,GSI002,0,Reprovado,0,2
771,2329,GSI002,83,Aprovado,1,1
773,1958,GSI002,0,Reprovado,1,1
775,1976,GSI002,0,Reprovado,1,2
777,1908,GSI002,87,Aprovado,1,1
782,2186,GSI002,94,Aprovado,1,1
786,2005,GSI002,75,Aprovado,1,2
787,1917,GSI002,0,Reprovado,0,0
793,1966,GSI002,69,Aprovado,1,1
797,2056,GSI002,0,Reprovado,1,2
798,2721,GSI002,60,Aprovado,1,2
799,2095,GSI002,9,Reprovado,1,2
801,2329,GSI002,61,Aprovado,1,1
804,2423,GSI002,13,Reprovado,0,1
813,2011,GSI002,2,Reprovado,1,2
816,1916,GSI002,69,Aprovado,1,1
820,2413,GSI002,93,Aprovado,1,2
827,1900,GSI002,20,Reprovado,1,1
830,1900,GSI002,1,Reprovado,1,1
831,2329,GSI002,88,Aprovado,1,1
834,2630,GSI002,0,Reprovado,1,2
837,2011,GSI002,0,Reprovado,0,2
843,2381,GSI002,88,Aprovado,1,2
846,2186,GSI002,74,Aprovado,1,1
847,2712,GSI002,61,Aprovado,1,2
848,2159,GSI002,90,Aprovado,1,1
855,1900,GSI002,69,Aprovado,1,1
856,2406,GSI002,38,Reprovado,1,2
859,2630,GSI002,60,Aprovado,1,2
860,2381,GSI002,0,Reprovado,1,2
861,2623,GSI002,100,Aprovado,1,2
866,2721,GSI002,72,Aprovado,1,2
867,2331,GSI002,0,Reprovado,0,2
