IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
143,2889,GSI007,61,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
145,2513,GSI007,71,Aprovado,1,1,1,1,2,2,1,1,2,0,1,1,0,1,1,2,2,1,1,1,1,0,1,1,1,1
149,2384,GSI007,89,Aprovado,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,1,1,1,0,1,1,2
154,1922,GSI007,12,Reprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,1,0,0,1,1,2
155,1999,GSI007,11,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1
160,2301,GSI007,11,Reprovado,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
161,2115,GSI007,7,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2
164,2384,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,0,0,1,0,1,1,2
171,2513,GSI007,60,Aprovado,1,1,0,0,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,0,0,0,1,0,1,1
175,2115,GSI007,68,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2
181,2704,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
186,2301,GSI007,0,Reprovado,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
207,2704,GSI007,87,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
208,2889,GSI007,0,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
210,2889,GSI007,92,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
211,1893,GSI007,72,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
215,2704,GSI007,82,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
216,2704,GSI007,78,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
217,2624,GSI007,0,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
218,2662,GSI007,72,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
219,1893,GSI007,80,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
220,1893,GSI007,81,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
225,2624,GSI007,0,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
228,2662,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
229,2704,GSI007,85,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
235,2662,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
237,2593,GSI007,69,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
241,2412,GSI007,62,Aprovado,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1
242,2624,GSI007,84,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
243,2384,GSI007,78,Aprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,1,1,1,2
244,2513,GSI007,8,Reprovado,0,1,1,0,2,2,0,1,2,1,0,1,0,1,1,2,2,0,1,0,0,0,0,1,0,0
247,2017,GSI007,64,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,0,1,0,2,0,1,1,1,0,1,2
248,2593,GSI007,64,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
249,2384,GSI007,0,Reprovado,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,0,0,0,0,1,0,2
252,2513,GSI007,86,Aprovado,0,0,1,0,2,2,0,1,2,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1
253,2513,GSI007,67,Aprovado,0,1,1,0,2,2,1,1,2,1,1,1,0,1,1,2,2,0,1,0,1,1,1,1,1,1
254,2412,GSI007,60,Aprovado,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1
256,2491,GSI007,60,Aprovado,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1
261,2491,GSI007,24,Reprovado,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1
271,2284,GSI007,0,Reprovado,2,2,1,1,1,1,1,1,0,1,1,1,2,1,2,1,1,1,2,2,0,1,1,0,0,0
272,2017,GSI007,68,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,0,1,1,1,0,1,2
274,2191,GSI007,60,Aprovado,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2
276,2115,GSI007,0,Reprovado,1,1,2,1,1,1,1,0,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,2
277,2017,GSI007,82,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,0,1,1,1,1,1,2
284,2284,GSI007,65,Aprovado,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1
285,2301,GSI007,60,Aprovado,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
287,2017,GSI007,13,Reprovado,1,2,2,2,2,0,1,1,0,2,2,0,2,2,0,0,0,0,2,1,1,1,1,0,0,2
288,2191,GSI007,94,Aprovado,1,2,2,1,2,2,0,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2
310,2115,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2
313,1965,GSI007,0,Reprovado,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2
315,2017,GSI007,83,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,0,1,1,1,0,1,2
316,2017,GSI007,60,Aprovado,1,2,2,2,2,1,0,1,0,2,2,1,2,2,1,0,1,1,2,0,1,1,1,0,1,2
319,2094,GSI007,75,Aprovado,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2
321,2016,GSI007,60,Aprovado,1,2,1,0,1,1,1,1,1,1,2,0,1,1,2,1,0,2,2,1,1,1,2,1,1,1
324,2016,GSI007,1,Reprovado,1,2,1,1,1,1,1,1,1,0,2,0,0,1,2,1,0,2,2,1,1,1,2,0,0,1
325,2016,GSI007,0,Reprovado,1,2,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,1
326,2017,GSI007,92,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,0,1,1,1,1,1,2
327,1999,GSI007,6,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,0,2,2,2,0,0,2,1,0,0
328,1904,GSI007,0,Reprovado,1,1,2,1,2,0,1,1,1,1,2,1,0,1,1,1,1,2,2,2,1,1,2,1,1,1
