IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,16,17,20,23,24,25
228,2667,GSI016,74,Aprovado,1,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1
229,2845,GSI016,80,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
235,2427,GSI016,2,Reprovado,1,2,1,2,1,2,2,1,2,0,2,1,1,1,1,1,2
237,1736,GSI016,17,Reprovado,1,2,1,2,1,2,2,0,2,2,2,1,0,1,0,1,1
241,2398,GSI016,70,Aprovado,1,2,1,2,1,2,2,1,2,1,2,0,1,1,1,1,2
242,2634,GSI016,88,Aprovado,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1
243,2634,GSI016,71,Aprovado,1,2,1,2,1,2,2,0,2,1,2,1,1,2,1,1,1
247,1736,GSI016,33,Reprovado,0,2,1,2,1,2,2,1,2,2,2,0,0,1,0,1,1
248,1736,GSI016,36,Reprovado,0,2,1,2,1,2,2,1,2,2,2,0,0,1,0,1,1
249,1736,GSI016,10,Reprovado,1,2,1,2,0,2,2,0,2,2,2,1,0,0,0,1,1
252,2398,GSI016,80,Aprovado,0,2,0,2,0,2,2,1,2,1,2,1,1,1,1,1,2
253,1736,GSI016,25,Reprovado,0,2,0,2,0,2,2,0,2,2,2,0,0,0,0,1,1
254,2287,GSI016,74,Aprovado,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1
256,2287,GSI016,82,Aprovado,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1
265,2195,GSI016,55,Reprovado,1,1,1,1,0,1,0,0,1,2,0,1,2,2,1,1,1
267,2398,GSI016,81,Aprovado,1,2,1,2,0,2,2,1,2,1,2,1,1,1,1,1,2
268,1627,GSI016,26,Reprovado,0,2,0,2,0,2,2,2,0,0,0,0,2,2,0,1,0
271,2287,GSI016,6,Reprovado,0,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1
272,1770,GSI016,75,Aprovado,1,1,1,1,1,1,0,1,1,2,1,2,2,2,2,1,1
273,1659,GSI016,0,Reprovado,1,2,1,2,0,2,2,2,0,0,0,0,2,2,0,1,0
274,2068,GSI016,72,Aprovado,0,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2
277,2068,GSI016,74,Aprovado,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2
284,1659,GSI016,60,Aprovado,1,2,1,2,0,2,2,2,1,0,0,1,2,2,1,1,0
285,1770,GSI016,92,Aprovado,1,1,1,0,1,0,0,1,1,2,1,2,2,2,2,1,1
287,1726,GSI016,44,Reprovado,0,2,1,2,1,2,2,2,1,0,2,1,2,1,1,1,1
288,2068,GSI016,96,Aprovado,1,1,1,1,1,1,2,1,1,2,0,2,2,2,1,1,2
302,1726,GSI016,0,Reprovado,1,2,0,2,0,2,2,2,0,0,2,0,2,0,0,1,1
305,1659,GSI016,49,Reprovado,1,2,1,2,1,2,2,2,1,1,0,1,2,2,1,1,1
315,1952,GSI016,60,Aprovado,0,2,0,2,1,2,2,2,1,0,1,1,2,2,0,1,1
316,1952,GSI016,18,Reprovado,0,2,1,2,0,2,2,2,1,0,1,0,2,2,0,1,1
319,1627,GSI016,33,Reprovado,1,2,1,2,1,2,2,2,1,1,0,1,2,2,0,1,0
321,1952,GSI016,41,Reprovado,0,2,1,2,1,2,2,2,1,0,0,1,2,2,1,1,1
324,1982,GSI016,11,Reprovado,0,2,1,0,1,2,2,2,2,2,2,0,2,2,0,1,2
326,1982,GSI016,67,Aprovado,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2
332,1726,GSI016,60,Aprovado,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1
374,2427,GSI016,60,Aprovado,0,2,1,2,1,2,2,1,2,1,2,0,1,1,1,1,2
376,2287,GSI016,60,Aprovado,0,2,0,2,1,2,2,1,1,2,2,1,1,0,1,1,1
380,2287,GSI016,0,Reprovado,0,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1
382,1627,GSI016,33,Reprovado,1,2,1,2,1,2,2,2,0,0,0,1,2,2,1,1,0
384,1659,GSI016,71,Aprovado,1,2,1,2,1,2,2,2,1,0,0,0,2,2,1,1,0
387,2068,GSI016,33,Reprovado,1,1,1,1,1,1,2,1,1,2,0,2,2,2,1,1,2
390,1952,GSI016,68,Aprovado,1,2,1,2,1,2,2,2,1,0,1,0,2,2,0,1,1
392,1952,GSI016,60,Aprovado,1,2,1,2,1,2,2,2,1,0,1,0,2,2,0,1,1
393,1933,GSI016,72,Aprovado,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1
398,1982,GSI016,45,Reprovado,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2
406,2634,GSI016,63,Aprovado,1,2,0,2,1,2,2,1,2,1,2,1,1,2,1,1,1
420,1726,GSI016,66,Aprovado,1,2,1,2,1,2,2,2,1,1,2,1,2,1,0,1,1
433,2287,GSI016,83,Aprovado,1,2,1,2,1,2,2,1,1,2,2,0,1,0,0,1,1
437,1659,GSI016,70,Aprovado,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1
450,2667,GSI016,68,Aprovado,1,2,1,2,1,2,2,2,2,1,2,0,1,1,1,1,1
464,2427,GSI016,71,Aprovado,0,2,1,2,1,2,2,1,2,0,2,0,1,1,1,1,2
468,2398,GSI016,67,Aprovado,1,2,1,2,1,2,2,1,2,1,2,0,1,1,1,1,2
469,2667,GSI016,6,Reprovado,1,2,1,2,0,2,2,2,2,0,2,0,1,0,1,0,0
474,2195,GSI016,71,Aprovado,1,1,0,1,1,1,0,1,1,2,0,1,2,2,0,1,0
476,2427,GSI016,97,Aprovado,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2
481,1659,GSI016,23,Reprovado,1,2,1,2,0,2,2,2,1,1,0,1,2,2,0,1,1
484,1659,GSI016,62,Aprovado,1,2,1,2,1,2,2,2,1,1,0,1,2,2,1,1,1
502,1736,GSI016,74,Aprovado,0,2,0,2,1,2,2,1,2,2,2,1,1,0,0,1,1
511,1726,GSI016,54,Reprovado,1,2,1,2,1,2,2,2,0,1,2,1,2,1,1,1,1
