id,class,v1,v2
9,Aprovado,-19.92507553100586,1.5255337953567505
18,Aprovado,27.516916275024414,25.475326538085938
19,Reprovado,-33.34560012817383,-34.49837875366211
20,Reprovado,3.869750499725342,-16.149538040161133
25,Aprovado,15.839290618896484,20.738866806030273
35,Aprovado,-19.92507553100586,1.5255337953567505
36,Reprovado,-19.92507553100586,1.5255337953567505
37,Reprovado,1.2835323810577393,17.856882095336914
43,Aprovado,-35.17647933959961,-38.219608306884766
51,Aprovado,-20.66637420654297,3.171046018600464
52,Aprovado,-17.81165885925293,2.3680100440979004
62,Reprovado,-34.909523010253906,-37.227783203125
63,Aprovado,23.149065017700195,-19.460424423217773
64,Aprovado,22.830951690673828,-19.56633949279785
66,Reprovado,33.08249282836914,22.88601303100586
70,Aprovado,3.288050889968872,-47.73069381713867
72,Reprovado,5.367437362670898,-11.716557502746582
79,Aprovado,7.342929840087891,-13.343986511230469
80,Aprovado,19.834482192993164,4.8686628341674805
82,Reprovado,22.5748348236084,-19.958515167236328
84,Aprovado,7.808622360229492,-10.807031631469727
88,Aprovado,-13.400781631469727,-24.696674346923828
91,Aprovado,-17.805458068847656,0.19141098856925964
94,Aprovado,-5.892544269561768,38.936275482177734
96,Aprovado,28.702045440673828,-14.767258644104004
99,Aprovado,20.417728424072266,4.704685688018799
102,Aprovado,20.31067657470703,5.019607067108154
103,Aprovado,14.58818531036377,21.99461555480957
108,Reprovado,-3.6000313758850098,18.747087478637695
109,Aprovado,4.332981586456299,-49.386844635009766
111,Aprovado,-19.245529174804688,3.2140567302703857
115,Aprovado,15.884726524353027,21.953760147094727
119,Reprovado,-26.7763614654541,33.47825622558594
120,Aprovado,-18.74596405029297,2.9679911136627197
121,Reprovado,-4.528738975524902,36.19791030883789
122,Reprovado,5.057955741882324,-14.593001365661621
123,Reprovado,22.752613067626953,-19.64529037475586
127,Aprovado,-18.242630004882812,2.517540454864502
129,Aprovado,3.8473129272460938,-48.536991119384766
130,Reprovado,23.017780303955078,5.867157936096191
132,Reprovado,3.178046464920044,-16.460559844970703
133,Aprovado,-34.909523010253906,-37.227783203125
134,Reprovado,-18.07541847229004,1.759852647781372
135,Aprovado,-18.07541847229004,1.759852647781372
143,Aprovado,-12.228436470031738,-25.937528610229492
145,Aprovado,41.84638595581055,-4.08983850479126
149,Aprovado,28.155277252197266,-16.29595375061035
154,Reprovado,6.8206024169921875,-8.911169052124023
155,Reprovado,27.492361068725586,24.87576675415039
160,Reprovado,14.077486991882324,14.770633697509766
161,Reprovado,-34.909523010253906,-37.227783203125
164,Aprovado,30.055124282836914,-15.994140625
171,Aprovado,42.350730895996094,-2.2562098503112793
175,Aprovado,-34.909523010253906,-37.227783203125
181,Aprovado,-21.18938446044922,-1.2811752557754517
186,Reprovado,14.510891914367676,14.463647842407227
207,Aprovado,-20.89305877685547,-0.7058327198028564
208,Reprovado,-12.273940086364746,-25.098155975341797
210,Aprovado,-12.099224090576172,-26.516244888305664
211,Aprovado,-19.374408721923828,-0.23731930553913116
215,Aprovado,-18.119993209838867,1.0822210311889648
216,Aprovado,-19.699291229248047,-0.3209753930568695
217,Reprovado,-20.04380226135254,-0.3739010691642761
218,Aprovado,-18.614578247070312,0.21258479356765747
219,Aprovado,-18.614578247070312,0.21258479356765747
220,Aprovado,-17.57439422607422,0.8053039908409119
225,Reprovado,-19.92507553100586,1.5255337953567505
228,Aprovado,-18.857952117919922,-1.1094073057174683
229,Aprovado,-19.475872039794922,-0.890585720539093
235,Aprovado,-20.686603546142578,-1.0560870170593262
237,Aprovado,-16.834245681762695,2.476034164428711
241,Aprovado,-9.906278610229492,35.371788024902344
242,Aprovado,-21.283241271972656,-1.6948719024658203
243,Aprovado,27.600011825561523,-15.20028305053711
244,Reprovado,44.30323028564453,-3.8914899826049805
247,Aprovado,2.4780073165893555,-45.021217346191406
248,Aprovado,-20.67721939086914,-0.14303924143314362
249,Reprovado,31.64563751220703,-14.979042053222656
252,Aprovado,40.74494171142578,-3.49674654006958
253,Aprovado,42.22543716430664,-3.3999712467193604
254,Aprovado,-9.355981826782227,35.43178939819336
256,Aprovado,-5.824737548828125,38.87108612060547
261,Reprovado,-6.216127872467041,39.20861053466797
271,Reprovado,22.948806762695312,7.608919143676758
272,Aprovado,1.9709457159042358,-46.00408172607422
274,Aprovado,-24.13418960571289,31.422948837280273
276,Reprovado,-34.19599151611328,-34.4301643371582
277,Aprovado,3.2173004150390625,-46.347503662109375
284,Aprovado,20.22333335876465,4.149563789367676
285,Aprovado,14.211865425109863,14.559301376342773
287,Reprovado,3.4592137336730957,-43.19269561767578
288,Aprovado,-23.13749885559082,31.856313705444336
310,Aprovado,-33.38636016845703,-37.665164947509766
313,Reprovado,1.19245445728302,-17.909954071044922
315,Aprovado,1.9709457159042358,-46.00408172607422
316,Aprovado,3.155705451965332,-44.64639663696289
319,Aprovado,23.21849250793457,-19.434955596923828
321,Aprovado,15.033770561218262,22.161834716796875
324,Reprovado,15.46727466583252,22.851463317871094
325,Reprovado,13.05271053314209,25.960346221923828
326,Aprovado,3.2173004150390625,-46.347503662109375
327,Reprovado,32.24492645263672,25.725109100341797
328,Reprovado,3.5043039321899414,13.300722122192383
331,Reprovado,2.121438503265381,-17.449016571044922
332,Aprovado,27.407405853271484,25.44598388671875
333,Reprovado,3.0711655616760254,14.016630172729492
352,Reprovado,8.846532821655273,-7.528775691986084
361,Reprovado,-9.064517974853516,35.622215270996094
373,Aprovado,-33.38636016845703,-37.665164947509766
374,Aprovado,-18.512075424194336,2.6658613681793213
376,Aprovado,19.8055362701416,4.502809524536133
378,Reprovado,31.343793869018555,-14.994680404663086
380,Reprovado,14.423648834228516,14.467212677001953
384,Aprovado,3.973506450653076,-45.84419631958008
387,Aprovado,7.0286712646484375,-11.23558521270752
390,Aprovado,14.078145980834961,22.212614059448242
392,Aprovado,14.146543502807617,21.424278259277344
393,Aprovado,27.07733726501465,24.87949562072754
395,Reprovado,-1.1935935020446777,16.722862243652344
396,Aprovado,9.193477630615234,-8.3244047164917
399,Reprovado,-1.2456188201904297,18.137752532958984
400,Reprovado,0.8018255829811096,15.157657623291016
404,Reprovado,-1.1925324201583862,16.791547775268555
406,Aprovado,-19.060192108154297,-0.18381236493587494
412,Reprovado,-17.520923614501953,1.4588217735290527
419,Aprovado,-5.818299293518066,38.86885452270508
420,Aprovado,5.411289691925049,-15.190357208251953
425,Aprovado,2.0285911560058594,14.256969451904297
427,Reprovado,8.992011070251465,-7.79296875
433,Aprovado,-9.896905899047852,35.36962127685547
434,Reprovado,14.105829238891602,14.72297191619873
437,Aprovado,-33.38636016845703,-37.665164947509766
440,Aprovado,1.758493185043335,13.245555877685547
450,Aprovado,-12.49587631225586,-24.86265754699707
452,Reprovado,31.77031707763672,-13.76667594909668
462,Reprovado,-18.08042335510254,-0.3573058545589447
464,Reprovado,32.27985763549805,-14.101741790771484
468,Reprovado,-20.574649810791016,4.280848503112793
469,Reprovado,-20.67791175842285,-0.1404062807559967
473,Aprovado,-19.492769241333008,-1.4712798595428467
474,Aprovado,-5.163477897644043,39.58173370361328
476,Aprovado,-22.40883445739746,3.841151714324951
481,Reprovado,-2.0795400142669678,18.957128524780273
496,Aprovado,6.403548240661621,-11.163657188415527
502,Aprovado,-5.185983180999756,39.63124465942383
506,Aprovado,-22.01007652282715,4.447739124298096
511,Aprovado,27.03345489501953,24.908370971679688
519,Aprovado,22.570331573486328,-19.979223251342773
522,Reprovado,15.826288223266602,21.21980094909668
523,Aprovado,-9.245461463928223,35.4891242980957
528,Reprovado,13.344745635986328,25.855043411254883
529,Reprovado,-4.0014214515686035,20.166492462158203
530,Reprovado,23.136552810668945,-20.04733657836914
532,Aprovado,41.51055145263672,-3.079572916030884
544,Reprovado,3.1385226249694824,-42.133453369140625
545,Aprovado,0.28633439540863037,14.428569793701172
549,Aprovado,-21.1865291595459,4.302125930786133
554,Aprovado,-24.13418960571289,31.422948837280273
555,Aprovado,-22.96918296813965,31.303922653198242
557,Aprovado,-24.13418960571289,31.422948837280273
562,Aprovado,1.8975014686584473,-47.408905029296875
563,Reprovado,12.546454429626465,20.815771102905273
569,Reprovado,3.773782730102539,-17.971954345703125
573,Reprovado,2.276754856109619,13.624662399291992
581,Aprovado,19.917251586914062,5.474941253662109
584,Aprovado,-12.554880142211914,-27.116409301757812
592,Aprovado,-19.95762825012207,3.3578028678894043
599,Aprovado,-22.670190811157227,4.060312271118164
611,Reprovado,33.08167266845703,22.8859920501709
612,Reprovado,3.288050889968872,-47.73069381713867
619,Reprovado,2.9658260345458984,-15.30003547668457
621,Aprovado,-19.680849075317383,3.3089590072631836
623,Reprovado,-4.6599626541137695,18.18524169921875
626,Reprovado,6.040121078491211,-9.726786613464355
628,Aprovado,1.9221216440200806,-46.72895431518555
630,Aprovado,-33.38636016845703,-37.665164947509766
633,Aprovado,28.319753646850586,-16.21059226989746
634,Reprovado,42.546348571777344,-3.0902225971221924
639,Aprovado,3.0716121196746826,14.015644073486328
640,Reprovado,2.276498556137085,13.624757766723633
652,Reprovado,44.24547576904297,-4.927363872528076
655,Reprovado,-6.384323596954346,31.809219360351562
657,Aprovado,-12.077301025390625,-25.381376266479492
658,Reprovado,44.72117233276367,-4.165626525878906
660,Reprovado,1.6263976097106934,-17.966463088989258
668,Reprovado,7.80910587310791,-10.80935001373291
669,Aprovado,26.76515769958496,25.204132080078125
675,Aprovado,8.261201858520508,-10.180277824401855
676,Aprovado,-21.17686653137207,2.732302188873291
686,Aprovado,-17.97838020324707,3.171995162963867
687,Aprovado,-11.939860343933105,-26.195322036743164
688,Aprovado,-18.35955047607422,3.6349399089813232
694,Aprovado,-20.057113647460938,-1.2730860710144043
695,Reprovado,-20.363134384155273,-1.7336640357971191
696,Reprovado,-20.643171310424805,3.8554248809814453
697,Aprovado,-21.346309661865234,4.703508377075195
698,Aprovado,-18.23446273803711,0.7343272566795349
700,Aprovado,-18.713274002075195,4.0348591804504395
702,Aprovado,-21.17725944519043,2.7319865226745605
704,Reprovado,-6.384325981140137,31.80914306640625
709,Aprovado,-18.564496994018555,-0.6782504916191101
710,Aprovado,-9.49509334564209,35.39360809326172
711,Reprovado,31.780136108398438,-13.7645902633667
717,Reprovado,30.82626724243164,-13.27140998840332
719,Aprovado,19.71907615661621,5.1666436195373535
722,Aprovado,-33.34560012817383,-34.49837875366211
723,Aprovado,19.798295974731445,4.515760898590088
725,Aprovado,22.55352210998535,-20.40203857421875
728,Reprovado,-33.38636016845703,-37.665164947509766
730,Aprovado,-24.13418960571289,31.422948837280273
733,Reprovado,-22.92262077331543,30.693744659423828
737,Reprovado,-3.5516090393066406,18.915796279907227
739,Aprovado,7.851572036743164,-13.933977127075195
743,Reprovado,26.83421516418457,25.601913452148438
749,Reprovado,0.4317295551300049,13.450045585632324
750,Reprovado,0.0029258080758154392,-15.900455474853516
757,Aprovado,-12.935934066772461,-27.2453670501709
758,Aprovado,-13.608338356018066,-26.139589309692383
762,Aprovado,-19.050867080688477,3.3259294033050537
768,Aprovado,-20.66637420654297,3.171046018600464
771,Aprovado,14.05826187133789,14.986351013183594
786,Reprovado,-4.0014214515686035,20.166492462158203
793,Reprovado,-3.3181042671203613,19.77037811279297
798,Aprovado,-20.38245964050293,4.779681205749512
801,Aprovado,1.9709457159042358,-46.00408172607422
816,Aprovado,-0.40561437606811523,15.016972541809082
820,Aprovado,27.601224899291992,-15.200539588928223
831,Reprovado,-26.716232299804688,33.342140197753906
843,Reprovado,30.18744468688965,26.69290542602539
846,Reprovado,-33.38636016845703,-37.665164947509766
847,Aprovado,-20.273271560668945,3.4453954696655273
848,Aprovado,1.236082911491394,-47.98689651489258
859,Aprovado,-20.346837997436523,-0.36531156301498413
861,Aprovado,-19.58983039855957,4.221656799316406
866,Aprovado,-19.92507553100586,1.5255337953567505
879,Reprovado,0.06171536445617676,-15.636407852172852
885,Reprovado,22.660045623779297,-22.544872283935547
889,Aprovado,4.966559886932373,-45.053192138671875
891,Reprovado,6.830811977386475,-16.186019897460938
